id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,popularity
1,Best Part,Daniel Caesar & H.E.R.,soul/r&b,romantic,0.33,75,0.56,0.55,0.75,0.00,78
2,Damned,Miguel,soul/r&b,romantic,0.35,72,0.35,0.55,0.30,0.00,60
3,Under the Influence,Snoh Aalegra,soul/r&b,romantic,0.45,90,0.50,0.60,0.25,0.00,68
4,luther,Kendrick Lamar & SZA,soul/r&b,romantic,0.50,100,0.65,0.65,0.30,0.00,85
5,Let Me Love You,DJ Snake & Justin Bieber,electronic,moody,0.716,100,0.163,0.65,0.086,0.00003,84
6,September,Earth Wind & Fire,funk,happy,0.832,126,0.979,0.697,0.168,0.001,83
7,Sunday Kind of Love,Etta James,jazz,romantic,0.30,85,0.48,0.43,0.83,0.00,70
8,Work Song,Hozier,folk,moody,0.39,89,0.26,0.43,0.78,0.00,63
9,Champagne Coast,Blood Orange,indie pop,nostalgic,0.45,100,0.45,0.55,0.15,0.10,45
10,Evergreen,Omar Apollo,indie pop,nostalgic,0.34,82,0.31,0.70,0.60,0.01,60
11,Woo,Rihanna,pop,intense,0.75,140,0.30,0.60,0.05,0.05,68
12,Big Black Car,Gregory Alan Isakov,folk,relaxed,0.19,110,0.47,0.60,0.91,0.00,72
13,Fourth of July,Sufjan Stevens,folk,sad,0.10,120,0.16,0.44,0.97,0.33,81
14,I Ain't Worried,OneRepublic,pop,happy,0.797,140,0.825,0.704,0.083,0.001,96
15,Sunflower,Swae Lee & Post Malone,pop,happy,0.55,90,0.90,0.75,0.40,0.00,90
16,Nice For What,Drake,hip-hop,energetic,0.75,93,0.65,0.80,0.10,0.00,85
17,In the End,Linkin Park,metal,intense,0.864,105,0.400,0.556,0.010,0.00,85
18,Just Wanna Rock,Lil Uzi Vert,hip-hop,energetic,0.85,130,0.60,0.85,0.02,0.00,78
19,Solitude,Jinsang,lofi,chill,0.25,75,0.40,0.50,0.60,0.90,35
20,Three Little Birds,Bob Marley,reggae,happy,0.49,74,0.627,0.826,0.009,0.001,78
21,Apocalypse,Cigarettes After Sex,ambient,moody,0.467,94,0.182,0.370,0.021,0.003,84
22,Sweet Child O' Mine,Guns N' Roses,rock,happy,0.91,125,0.63,0.45,0.09,0.10,84
23,November Rain,Guns N' Roses,rock,romantic,0.64,80,0.23,0.29,0.02,0.22,81
24,Smells Like Teen Spirit,Nirvana,rock,aggressive,0.91,117,0.72,0.50,0.00,0.00,83
25,Flowers,Miley Cyrus,pop,happy,0.68,118,0.65,0.70,0.10,0.00,92
26,Anti-Hero,Taylor Swift,pop,nostalgic,0.60,97,0.50,0.65,0.10,0.00,90
27,Espresso,Sabrina Carpenter,pop,energetic,0.75,104,0.80,0.75,0.05,0.00,88
28,Middle,DJ Snake & Bipolar Sunshine,electronic,moody,0.695,105,0.224,0.583,0.014,0.00,76
29,Glue,Bicep,electronic,energetic,0.798,130,0.420,0.853,0.016,0.948,74
30,Can't Stop,Red Hot Chili Peppers,funk,energetic,0.938,91,0.875,0.618,0.018,0.00,82
31,Under the Bridge,Red Hot Chili Peppers,funk,nostalgic,0.345,85,0.458,0.559,0.058,0.0001,82
32,Don't Know Why,Norah Jones,jazz,relaxed,0.219,89,0.635,0.745,0.851,0.00002,76
33,At Last,Etta James,jazz,romantic,0.348,87,0.328,0.274,0.547,0.013,75
34,Numb,Linkin Park,metal,moody,0.863,110,0.243,0.496,0.005,0.00,83
35,Chop Suey!,System Of A Down,metal,aggressive,0.934,127,0.287,0.417,0.0003,0.002,83
36,It Wasn't Me,Shaggy,reggae,energetic,0.606,95,0.654,0.853,0.056,0.00,79
37,Red Red Wine,UB40,reggae,relaxed,0.468,89,0.843,0.857,0.004,0.00001,73
38,Experience,Ludovico Einaudi,ambient,relaxed,0.449,92,0.036,0.447,0.934,0.961,79
39,K.,Cigarettes After Sex,ambient,sad,0.400,94,0.327,0.454,0.139,0.005,78
40,Losing Interest,itssvd & Shiloh Dynasty,lofi,sad,0.355,112,0.506,0.753,0.480,0.020,76
41,Hex,80purppp,lofi,chill,0.398,110,0.482,0.845,0.872,0.007,79
